rendszam,ido,osszeg,fizetesiMod
ABC-123,10,12.5,kp
XYZ-456,20,25.0,kártya
QWE-111,15,18.0,kp
RTY-222,30,40.0,kártya
UIO-333,12,14.5,kp
PAS-444,25,33.0,kártya
DFG-555,18,22.0,kp
HJK-666,40,55.0,kártya
LZX-777,22,28.5,kp
CVB-888,35,48.0,kártya
ABC-123,14,17.0,kp
XYZ-456,28,37.0,kártya
QWE-111,19,24.5,kp
RTY-222,45,63.0,kártya
UIO-333,16,19.0,kp
PAS-444,32,44.0,kártya
DFG-555,20,26.0,kp
HJK-666,38,52.5,kártya
LZX-777,26,35.0,kp
CVB-888,50,70.0,kártya
ABC-123,11,13.5,kp
XYZ-456,24,31.0,kártya
QWE-111,17,21.5,kp
RTY-222,36,49.0,kártya
UIO-333,13,15.5,kp
PAS-444,27,36.5,kártya
DFG-555,21,27.0,kp
HJK-666,41,57.0,kártya
LZX-777,29,39.5,kp
CVB-888,47,66.0,kártya
ABC-123,9,11.0,kp
XYZ-456,23,30.0,kártya
QWE-111,16,20.0,kp
RTY-222,33,46.0,kártya
UIO-333,18,23.0,kp
PAS-444,31,42.0,kártya
DFG-555,24,32.0,kp
HJK-666,43,60.0,kártya
LZX-777,27,37.0,kp
CVB-888,52,73.0,kártya
ABC-123,12,15.0,kp
XYZ-456,26,34.0,kártya
QWE-111,18,22.5,kp
RTY-222,37,51.0,kártya
UIO-333,15,18.5,kp
PAS-444,29,39.0,kártya
DFG-555,22,29.0,kp
HJK-666,39,54.0,kártya
LZX-777,30,41.0,kp
CVB-888,48,68.0,kártya
ABC-123,13,16.0,kp
XYZ-456,21,27.5,kártya
QWE-111,20,25.0,kp
RTY-222,42,58.0,kártya
UIO-333,17,21.0,kp
PAS-444,34,47.0,kártya
DFG-555,23,30.5,kp
HJK-666,44,61.0,kártya
LZX-777,31,43.0,kp
CVB-888,49,69.0,kártya
ABC-123,15,19.0,kp
XYZ-456,29,38.5,kártya
QWE-111,22,28.0,kp
RTY-222,46,64.0,kártya
UIO-333,19,24.0,kp
PAS-444,35,48.5,kártya
DFG-555,25,33.5,kp
HJK-666,42,59.0,kártya
LZX-777,32,45.0,kp
CVB-888,51,72.0,kártya
ABC-123,16,20.0,kp
XYZ-456,27,35.5,kártya
QWE-111,21,26.5,kp
RTY-222,38,53.0,kártya
UIO-333,20,25.5,kp
PAS-444,33,45.0,kártya
DFG-555,26,34.5,kp
HJK-666,45,62.0,kártya
LZX-777,28,38.0,kp
CVB-888,53,74.0,kártya
ABC-123,17,22.0,kp
XYZ-456,30,40.0,kártya
QWE-111,23,29.5,kp
RTY-222,41,57.0,kártya
UIO-333,21,27.0,kp
PAS-444,36,50.0,kártya
DFG-555,27,36.0,kp
HJK-666,46,65.0,kártya
LZX-777,33,46.5,kp
CVB-888,54,76.0,kártya
ABC-123,18,23.5,kp
XYZ-456,31,42.0,kártya
QWE-111,24,31.0,kp
RTY-222,43,60.0,kártya
UIO-333,22,28.5,kp
PAS-444,37,52.0,kártya
DFG-555,28,37.5,kp
HJK-666,47,67.0,kártya
LZX-777,34,48.0,kp
CVB-888,55,78.0,kártya
